Relative File path,File name,Season,Episode,Actors,Characters,Keywords,Title,Size,Dimensions,Credit,Device make,Device model,Color space,Color profile,Focal length,Description,Alpha channel,Red eye,Metering mode,F number,Exposure program,Exposure time,Instructions
house-of-the-dragon-gallery/HOTD_205_072023_OU_1211.jpg,HOTD_205_072023_OU_1211.jpg,2,5,"Ellora Torchia, Kieran Bew",Kat,,,"1,9 MB",4688 × 3499,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,27 mm,                             ,No,No,Pattern,"f/4,5",Manual,1/200,
house-of-the-dragon-gallery/HOTD_205_072523_TW_0985.jpg,HOTD_205_072523_TW_0985.jpg,2,5,"Harry Collett, Emma D'Arcy","Prince Jacaerys Velaryon, Princess Rhaenyra Targaryen",,,"1,5 MB",6000 × 4000,,SONY,ILCE-9M2,RGB,sRGB IEC61966-2.1,85 mm,,No,No,Center-weighted average,"f/1,8",Manual,1/250,
house-of-the-dragon-gallery/HOTD_205_080223_TW_1199.jpg,HOTD_205_080223_TW_1199.jpg,2,5,Amanda Collin,,,,"1,3 MB",6000 × 4000,,SONY,ILCE-9M2,RGB,sRGB IEC61966-2.1,70 mm,,No,No,Center-weighted average,"f/2,8",Manual,1/250,
house-of-the-dragon-gallery/HOTD_205_082323_OU_1320.jpg,HOTD_205_082323_OU_1320.jpg,2,5,"Sonoya Mizuno, Emma D'Arcy","Mysaria, Princess Rhaenyra Targaryen",,,2 MB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,35 mm,                             ,No,No,Pattern,"f/1,4",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_082323_OU_1354.jpg,HOTD_205_082323_OU_1354.jpg,2,5,Sonoya Mizuno,Mysaria,,,774 KB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,85 mm,                             ,No,No,Pattern,"f/1,4",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_082423_OU_1612.jpg,HOTD_205_082423_OU_1612.jpg,2,5,Olivia Cooke,Queen Alicent Hightower,,,609 KB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,85 mm,                             ,No,No,Pattern,"f/1,6",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_082423_OU_1728.jpg,HOTD_205_082423_OU_1728.jpg,2,5,Ewan Mitchell,Prince Aemond Targaryen,,,"1,3 MB",5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,50 mm,                             ,No,No,Pattern,"f/1,2",Manual,1/125,
house-of-the-dragon-gallery/HOTD_205_082423_OU_1733.jpg,HOTD_205_082423_OU_1733.jpg,2,5,Olivia Cooke,Queen Alicent Hightower,,,959 KB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,85 mm,                             ,No,No,Pattern,"f/1,4",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_090423_OU_1813.jpg,HOTD_205_090423_OU_1813.jpg,2,5,"Steve Toussaint, Bethany Antonia","Lord Corlys Velaryon, Lady Baela Targaryen",,,"1,1 MB",5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,135 mm,                             ,No,No,Pattern,"f/2,2",Manual,1/125,
house-of-the-dragon-gallery/HOTD_205_090423_OU_1828.jpg,HOTD_205_090423_OU_1828.jpg,2,5,Steve Toussaint,Lord Corlys Velaryon,,,878 KB,3000 × 2000,,SONY,ILCE-1,RGB,Adobe RGB (1998),85 mm,                             ,No,No,Pattern,"f/1,4",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_090423_OU_1868.jpg,HOTD_205_090423_OU_1868.jpg,2,5,Bethany Antonia,Lady Baela Targaryen,,,767 KB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,50 mm,                             ,No,No,Pattern,"f/1,4",Manual,1/125,
house-of-the-dragon-gallery/HOTD_205_090523_OU_2015.jpg,HOTD_205_090523_OU_2015.jpg,2,5,Alistair Brammer,,,,"2,5 MB",5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,135 mm,                             ,No,No,Pattern,"f/1,8",Manual,1/125,
house-of-the-dragon-gallery/HOTD_205_091423_LD_0143.jpg,HOTD_205_091423_LD_0143.jpg,2,5,"Olivia Cooke, Fabien Frankel","Queen Alicent Hightower, Ser Criston Cole",,,"1,1 MB",4240 × 2832,,SONY,ILCE-7SM2,RGB,sRGB IEC61966-2.1,66 mm,                            ,No,No,Pattern,"f/5,0",Manual,1/250,
house-of-the-dragon-gallery/HOTD_205_091923_LD_0471.jpg,HOTD_205_091923_LD_0471.jpg,2,5,Emma D'Arcy,Princess Rhaenyra Targaryen,,,793 KB,4240 × 2832,,SONY,ILCE-7SM2,RGB,sRGB IEC61966-2.1,81 mm,                             ,No,No,Pattern,"f/4,0",Manual,1/50,
house-of-the-dragon-gallery/HOTD_205_092223_LD_0846.jpg,HOTD_205_092223_LD_0846.jpg,2,5,"Tom Glynn-Carney, Olivia Cooke","King Aegon II Targaryen, Queen Alicent Hightower",,,362 KB,4240 × 2832,,SONY,ILCE-7SM2,RGB,sRGB IEC61966-2.1,65 mm,                            ,No,No,Pattern,"f/4,0",Manual,1/30,
house-of-the-dragon-gallery/HOTD_205_092223_LD_1001.jpg,HOTD_205_092223_LD_1001.jpg,2,5,Fabien Frankel,Ser Criston Cole,,,"1,2 MB",4240 × 2832,,SONY,ILCE-7SM2,RGB,sRGB IEC61966-2.1,53 mm,                            ,No,No,Pattern,"f/4,0",Manual,1/60,
house-of-the-dragon-gallery/HOTD_205_092723_OU_2097.jpg,HOTD_205_092723_OU_2097.jpg,2,5,"Emma D'Arcy, Jamie Kenna","Princess Rhaenyra Targaryen, Ser Alfred Broome",,,"2,2 MB",5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,85 mm,                             ,No,No,Pattern,"f/1,8",Manual,1/100,
house-of-the-dragon-gallery/HOTD_205_092823_OU_2667.jpg,HOTD_205_092823_OU_2667.jpg,2,5,Ewan Mitchell,Prince Aemond Targaryen,,,1 MB,5616 × 3744,,SONY,ILCE-1,RGB,sRGB IEC61966-2.1,135 mm,                             ,No,No,Pattern,"f/1,8",Manual,1/100,
